site,month,surfWaterNitrateMean
LEWI,Jan,209.6
LEWI,Jan,209.6
LEWI,Jan,209
LEWI,Jan,209.3
LEWI,Jan,209
LEWI,Jan,208.5
LEWI,Jan,208.9
LEWI,Jan,208.9
LEWI,Jan,208.6
LEWI,Jan,208.9
LEWI,Jan,210.3
LEWI,Jan,213.5
LEWI,Jan,213.5
LEWI,Jan,205.2
LEWI,Jan,190.9
LEWI,Jan,185
LEWI,Jan,187.8
LEWI,Jan,193.3
LEWI,Jan,198.5
LEWI,Jan,202.1
LEWI,Jan,204.7
LEWI,Jan,206.1
LEWI,Jan,206.4
LEWI,Jan,207.3
LEWI,Jan,207.8
LEWI,Jan,207.4
LEWI,Jan,207.7
LEWI,Jan,208.3
LEWI,Jan,208.1
LEWI,Jan,208.3
LEWI,Jan,208.6
LEWI,Jan,208.9
LEWI,Jan,209.2
LEWI,Jan,209.2
LEWI,Jan,209.4
LEWI,Jan,208.8
LEWI,Jan,208.8
LEWI,Jan,209.1
LEWI,Jan,209.3
LEWI,Jan,209.5
LEWI,Jan,209.8
LEWI,Jan,209.8
LEWI,Jan,209.9
LEWI,Jan,210.4
LEWI,Jan,210.4
LEWI,Jan,210.7
LEWI,Jan,210.8
LEWI,Jan,211.1
LEWI,Jan,211.1
LEWI,Jan,211.3
LEWI,Jan,211.3
LEWI,Jan,211.6
LEWI,Jan,211.9
LEWI,Jan,212
LEWI,Jan,211.9
LEWI,Jan,211.6
LEWI,Jan,211.6
LEWI,Jan,211.7
LEWI,Jan,211.8
LEWI,Jan,212.2
LEWI,Jan,212.3
LEWI,Jan,212.4
LEWI,Jan,212.7
LEWI,Jan,212.2
LEWI,Jan,212.2
LEWI,Jan,213.1
LEWI,Jan,215.9
LEWI,Jan,215.9
LEWI,Jan,205.5
LEWI,Jan,193.3
LEWI,Jan,188
LEWI,Jan,190.7
LEWI,Jan,196.4
LEWI,Jan,201.8
LEWI,Jan,205.5
LEWI,Jan,207.5
LEWI,Jan,209.3
LEWI,Jan,210.2
LEWI,Jan,210.3
LEWI,Jan,210.8
LEWI,Jan,211
LEWI,Jan,210.1
LEWI,Jan,210.9
LEWI,Jan,210.8
LEWI,Jan,211.2
LEWI,Jan,211.6
LEWI,Jan,211.3
LEWI,Jan,211
LEWI,Jan,211.1
LEWI,Jan,211.2
LEWI,Jan,211.4
LEWI,Jan,211
LEWI,Jan,211.4
LEWI,Jan,210.7
LEWI,Jan,210.6
LEWI,Jan,210.5
LEWI,Jan,210.2
LEWI,Jan,210.6
LEWI,Jan,210.5
LEWI,Jan,210.4
LEWI,Jan,210.5
LEWI,Jan,210.3
LEWI,Jan,210.2
LEWI,Jan,209.6
LEWI,Jan,209.9
LEWI,Jan,212.6
LEWI,Jan,215.6
LEWI,Jan,214.3
LEWI,Jan,205.6
LEWI,Jan,192.2
LEWI,Jan,186.9
LEWI,Jan,190
LEWI,Jan,196.1
LEWI,Jan,201.2
LEWI,Jan,204.5
LEWI,Jan,206.5
LEWI,Jan,208
LEWI,Jan,208.7
LEWI,Jan,209.2
LEWI,Jan,209.5
LEWI,Jan,209.7
LEWI,Jan,210
LEWI,Jan,210.2
LEWI,Jan,210.4
LEWI,Jan,210
LEWI,Jan,210.3
LEWI,Jan,210.8
LEWI,Jan,210.8
LEWI,Jan,211.1
LEWI,Jan,211.1
LEWI,Jan,211.5
LEWI,Jan,211.8
LEWI,Jan,211.9
LEWI,Jan,211.3
LEWI,Jan,212
LEWI,Jan,211.9
LEWI,Jan,212.1
LEWI,Jan,212.2
LEWI,Jan,212.2
LEWI,Jan,212.4
LEWI,Jan,212.2
LEWI,Jan,211.7
LEWI,Jan,211.7
LEWI,Jan,211.9
LEWI,Jan,212.1
