site,month,surfWaterTempMean
LEWI,Jan,9.987
LEWI,Jan,9.987
LEWI,Jan,9.991
LEWI,Jan,9.976
LEWI,Jan,9.938
LEWI,Jan,9.817
LEWI,Jan,9.665
LEWI,Jan,9.252
LEWI,Jan,9.109
LEWI,Jan,9.194
LEWI,Jan,9.217
LEWI,Jan,9.17
LEWI,Jan,9.098
LEWI,Jan,9.005
LEWI,Jan,8.891
LEWI,Jan,8.753
LEWI,Jan,8.615
LEWI,Jan,8.479
LEWI,Jan,8.342
LEWI,Jan,8.229
LEWI,Jan,8.135
LEWI,Jan,8.052
LEWI,Jan,7.959
LEWI,Jan,7.876
LEWI,Jan,7.783
LEWI,Jan,7.689
LEWI,Jan,7.614
LEWI,Jan,7.576
LEWI,Jan,7.595
LEWI,Jan,7.671
LEWI,Jan,7.817
LEWI,Jan,8.053
LEWI,Jan,8.215
LEWI,Jan,8.385
LEWI,Jan,8.667
LEWI,Jan,8.975
LEWI,Jan,9.443
LEWI,Jan,9.842
LEWI,Jan,10.055
LEWI,Jan,10.173
LEWI,Jan,10.257
LEWI,Jan,10.32
LEWI,Jan,10.334
LEWI,Jan,10.303
LEWI,Jan,10.261
LEWI,Jan,10.182
LEWI,Jan,10.094
LEWI,Jan,10.026
LEWI,Jan,9.941
LEWI,Jan,9.906
LEWI,Jan,9.874
LEWI,Jan,9.777
LEWI,Jan,9.605
LEWI,Jan,9.381
LEWI,Jan,9.068
LEWI,Jan,8.72
LEWI,Jan,8.652
LEWI,Jan,8.625
LEWI,Jan,8.546
LEWI,Jan,8.448
LEWI,Jan,8.354
LEWI,Jan,8.259
LEWI,Jan,8.183
LEWI,Jan,8.124
LEWI,Jan,8.076
LEWI,Jan,8.032
LEWI,Jan,7.982
LEWI,Jan,7.946
LEWI,Jan,7.882
LEWI,Jan,7.807
LEWI,Jan,7.749
LEWI,Jan,7.699
LEWI,Jan,7.647
LEWI,Jan,7.618
LEWI,Jan,7.639
LEWI,Jan,7.704
LEWI,Jan,7.886
LEWI,Jan,8.06
LEWI,Jan,NA
LEWI,Jan,NA
LEWI,Jan,NA
LEWI,Jan,NA
LEWI,Jan,NA
LEWI,Jan,NA
LEWI,Jan,7.669
